Year,Month,tmax(degC),tmin(degC),ppt(mm)
1971,11,-37.4,-39.6,117
1971,12,-37.9,-43.4,82
1972,1,-32.4,-39.3,213
1972,2,-34.1,-41.1,72
1972,3,-33.9,-39.9,66
1972,4,-30.8,-35.8,50
1972,5,-18.1,-21.3,17
1972,6,-13.4,-15.8,40
1972,7,-10.2,-14,82
1972,8,-11.9,-15.8,92
1972,9,-17.8,-20.8,79
1972,10,-28.4,-28.5,104
1972,11,-34.1,-35.6,47
1972,12,-34.9,-39.4,53
1973,1,-30,-37.7,91
1973,2,-37.7,-44.6,46
1973,3,-35,-41,63
1973,4,-28.9,-33,101
1973,5,-20.9,-23.6,28
1973,6,-12.5,-15.8,38
1973,7,-9.1,-13.7,66
1973,8,-10.6,-15,72
1973,9,-19,-21.7,76
1973,10,-30.7,-31.2,28
1973,11,-37,-38.6,50
1973,12,-36,-39.8,64
1974,1,-32,-36.7,62
1974,2,-33.5,-38.1,46
1974,3,-30.3,-36.4,101
1974,4,-27.5,-31.2,26
1974,5,-19,-21.6,13
1974,6,-12,-15.6,73
1974,7,-8.5,-12.3,57
1974,8,-11.1,-14.7,22
1974,9,-19.7,-22.5,22
1974,10,-28.5,-28.5,84
1974,11,-33.7,-35.2,84
1974,12,-39.3,-43.2,27
1975,1,-38.6,-45.4,23
1975,2,-33.8,-38.6,101
1975,3,-36.1,-41.6,166
1975,4,-29.9,-33.7,48
1975,5,-20.1,-23.1,32
1975,6,-12.3,-15.4,59
1975,7,-8.8,-12.8,121
1975,8,-10.2,-15.3,103
1975,9,-20.3,-22.6,57
1975,10,-30.1,-30.6,51
1975,11,-35.6,-37.6,86
1975,12,-37.1,-41.8,70
1976,1,-37.4,-43,103
1976,2,-34,-39,97
1976,3,-31.4,-36.9,100
1976,4,-30,-34.2,24
1976,5,-19.4,-22.6,19
1976,6,-11.9,-15.3,38
1976,7,-9.4,-12.9,51
1976,8,-12.2,-15.5,96
1976,9,-17.5,-19.9,147
1976,10,-28.5,-29,72
1976,11,-34.3,-35.5,77
1976,12,-31.1,-35.5,101
1977,1,-34.4,-38.9,84
1977,2,-33.9,-38.2,72
1977,3,-34.4,-38.3,90
1977,4,-29.5,-33.1,25
1977,5,-18.9,-20.4,82
1977,6,-12.9,-14.9,70
1977,7,-7.8,-12.5,36
1977,8,-10.5,-14.9,30
1977,9,-19.9,-22,71
1977,10,-30.9,-31.4,25
1977,11,-34.3,-35.4,79
1977,12,-33.7,-38,82
1978,1,-38.7,-43.2,69
1978,2,-36.3,-40.8,54
1978,3,-35.9,-40.8,39
1978,4,-27.8,-32,52
1978,5,-19.2,-22.1,31
1978,6,-13.2,-16,32
1978,7,-8,-12.1,91
1978,8,-10.3,-14.7,106
1978,9,-19.5,-21.5,40
1978,10,-28.9,-28.8,86
1978,11,-37.7,-39.6,38
1978,12,-29.1,-33.5,47
1979,1,-34.2,-39.5,181
1979,2,-33.9,-38.6,112
1979,3,-32.3,-37.7,88
1979,4,-28.6,-32.3,26
1979,5,-21.8,-23.8,15
1979,6,-12.6,-15.4,52
1979,7,-9,-13,19
1979,8,-10.7,-15.2,86
1979,9,-19.3,-21.8,22
1979,10,-29.7,-29.3,36
1979,11,-35.3,-37.6,34
1979,12,-33.2,-37.5,70
1980,1,-30.7,-36.2,166
1980,2,-32.2,-36.8,130
1980,3,-29.6,-35,111
1980,4,-28.6,-32.8,30
1980,5,-18.2,-21.6,52
1980,6,-12.1,-15.5,73
1980,7,-9,-13,65
1980,8,-9.9,-14.1,47
1980,9,-18.7,-20.6,28
1980,10,-30.7,-31.2,29
1980,11,-35.3,-36.6,78
1980,12,-37,-40.5,66
1981,1,-36.5,-42.4,79
1981,2,-35.2,-41.9,63
1981,3,-34.7,-40.2,31
1981,4,-28.4,-32.6,55
1981,5,-19.6,-23,33
1981,6,-10.9,-15.2,43
1981,7,-7.6,-13.5,65
1981,8,-10.6,-15.4,76
1981,9,-19.3,-21.7,45
1981,10,-29.3,-29.4,66
1981,11,-35.3,-37,77
1981,12,-33.5,-38.6,57
1982,1,-35.3,-40.2,80
1982,2,-36.7,-39.8,57
1982,3,-33.9,-39.5,77
1982,4,-30.1,-34.4,52
1982,5,-22,-23.8,12
1982,6,-12,-15.5,25
1982,7,-8.8,-12.4,58
1982,8,-12.3,-15.6,42
1982,9,-21.3,-23.6,23
1982,10,-30.1,-30.6,58
1982,11,-34.9,-37.2,39
1982,12,-37.6,-41.3,65
1983,1,-37.4,-40.9,69
1983,2,-36.6,-44.2,233
1983,3,-38.7,-44.8,55
1983,4,-31.4,-36.6,62
1983,5,-20.3,-24.2,21
1983,6,-12.6,-16,39
1983,7,-10,-13.5,71
1983,8,-13.5,-16.1,93
1983,9,-20.2,-22.2,67
1983,10,-32.4,-32,29
1983,11,-36.7,-37.7,109
1983,12,-36.4,-41,76
1984,1,-39.5,-44.5,58
1984,2,-39,-43,61
1984,3,-35.6,-41.3,106
1984,4,-30.7,-35.2,37
1984,5,-21.8,-24,37
1984,6,-12.8,-16.1,72
1984,7,-7.8,-12.5,34
1984,8,-12,-15.5,142
1984,9,-19.6,-22.1,120
1984,10,-30.9,-31.4,34
1984,11,-34.1,-35.8,55
1984,12,-32.6,-37.5,101
1985,1,-30.4,-36.8,98
1985,2,-33.7,-38.6,94
1985,3,-33.2,-39.2,85
1985,4,-29.2,-33.6,39
1985,5,-17.8,-21.7,62
1985,6,-10.9,-14.5,67
1985,7,-8.3,-13.1,45
1985,8,-11.1,-15.3,112
1985,9,-18.5,-20.6,19
1985,10,-29.9,-30.3,49
1985,11,-34.1,-36.7,112
1985,12,-34.7,-39.1,56
1986,1,-33.6,-40.4,81
1986,2,-29.1,-34.1,79
1986,3,-34.4,-40.2,76
1986,4,-28.6,-32.8,65
1986,5,-20.2,-22.7,14
1986,6,-12.5,-15.5,39
1986,7,-9.4,-13.7,48
1986,8,-11.3,-15.1,137
1986,9,-18.6,-21.3,98
1986,10,-31.1,-31.6,42
1986,11,-36.8,-38.1,23
1986,12,-33,-38.6,119
1987,1,-30.5,-37.9,246
1987,2,-36.6,-41.7,93
1987,3,-34,-40.1,82
1987,4,-29.8,-32.7,68
1987,5,-19.1,-23,58
1987,6,-12.1,-15,94
1987,7,-9.2,-12.9,65
1987,8,-9.3,-14.2,27
1987,9,-19,-22,59
1987,10,-31.8,-32.3,29
1987,11,-33.9,-36,96
1987,12,-37.2,-39.8,75
1988,1,-37.9,-43.4,41
1988,2,-30.5,-35.9,138
1988,3,-35.4,-40.9,113
1988,4,-29.6,-35.5,23
1988,5,-18.3,-22.5,30
1988,6,-11.8,-15.5,71
1988,7,-7.3,-13.6,42
1988,8,-10.1,-15.6,106
1988,9,-18.9,-21.7,48
1988,10,-28.3,-29.2,54
1988,11,-33.2,-35.9,80
1988,12,-35,-39.7,75
1989,1,-37.7,-43.2,52
1989,2,-39.5,-43.6,59
1989,3,-38,-43.2,29
1989,4,-29.2,-34.2,15
1989,5,-20.8,-23.9,37
1989,6,-12.5,-15.4,60
1989,7,-8.7,-12.8,59
1989,8,-12.2,-15.3,43
1989,9,-20.5,-22.4,70
1989,10,-31.8,-32.3,41
1989,11,-32.4,-35.1,91
1989,12,-35.1,-38.6,126
1990,1,-34.3,-38.7,57
1990,2,-35.7,-39.9,16
1990,3,-37.9,-43.2,51
1990,4,-31.3,-35.5,21
1990,5,-19.2,-21.7,106
1990,6,-9.6,-14.4,23
1990,7,-7.9,-11.7,87
1990,8,-10.9,-14.3,90
1990,9,-19.4,-21.6,43
1990,10,-31,-31.5,49
1990,11,-33.1,-34,117
1990,12,-33.9,-38.5,150
1991,1,-34.4,-40.5,113
1991,2,-32.8,-39.4,111
1991,3,-32.4,-38.2,87
1991,4,-31.5,-35.7,26
1991,5,-20.1,-22.5,40
1991,6,-12.1,-15.3,65
1991,7,-6.8,-12.1,47
1991,8,-10.3,-14.5,67
1991,9,-18.9,-20.8,50
1991,10,-29.8,-30.3,100
1991,11,-35,-37.1,63
1991,12,-32.6,-39.2,114
1992,1,-33.5,-39.8,195
1992,2,-38.5,-43.8,84
1992,3,-36.7,-41.1,44
1992,4,-30.3,-34.6,13
1992,5,-21.1,-24.2,31
1992,6,-13.3,-15.8,75
1992,7,-9.1,-13.3,77
1992,8,-12.3,-15.7,70
1992,9,-19.3,-22.2,47
1992,10,-28.9,-28.6,91
1992,11,-33.4,-35.4,48
1992,12,-34.5,-40.4,58
1993,1,-38.9,-44.9,60
1993,2,-35.9,-41.4,121
1993,3,-37.4,-42.6,59
1993,4,-29.3,-33.4,27
1993,5,-20.4,-23.6,30
1993,6,-12.5,-15.1,61
1993,7,-8.4,-12.8,14
1993,8,-11.6,-15.4,86
1993,9,-18.1,-21.2,62
1993,10,-29.7,-29.2,65
1993,11,-32.2,-35.5,103
1993,12,-36,-39.7,35
1994,1,-37.2,-42.2,48
1994,2,-32.8,-39,66
1994,3,-36.2,-41.5,52
1994,4,-28.2,-32.5,68
1994,5,-18.8,-22.1,32
1994,6,-12.6,-15.7,42
1994,7,-7.9,-12.2,66
1994,8,-10.7,-14.4,94
1994,9,-19.3,-21.8,74
1994,10,-31.7,-32.2,82
1994,11,-34.5,-37.6,35
1994,12,-35.3,-40.7,89
1995,1,-38,-43.2,39
1995,2,-36.6,-41.8,33
1995,3,-35.8,-42.1,59
1995,4,-27,-31.3,40
1995,5,-18.8,-22.9,34
1995,6,-10.1,-14.3,70
1995,7,-7.8,-12.5,109
1995,8,-11.2,-14.8,86
1995,9,-17.8,-20.5,67
1995,10,-31.7,-32.2,18
1995,11,-32.2,-34.6,186
1995,12,-34.9,-38.4,185
1996,1,-32.8,-40,153
1996,2,-32.7,-38.8,196
1996,3,-30.1,-37.4,173
1996,4,-26.6,-31.3,58
1996,5,-18.8,-22.5,34
1996,6,-12.6,-15.1,39
1996,7,-8.5,-12.5,55
1996,8,-11.1,-15,66
1996,9,-19,-21.4,78
1996,10,-30.3,-30.8,46
1996,11,-34.1,-35.9,83
1996,12,-33.6,-39,127
1997,1,-34.3,-39.1,178
1997,2,-35.4,-38.9,42
1997,3,-34.4,-39.2,26
1997,4,-28.9,-32.2,77
1997,5,-20.3,-22,19
1997,6,-10,-14.4,63
1997,7,-9.2,-13.1,84
1997,8,-11.1,-14.8,136
1997,9,-19.4,-21.5,82
1997,10,-30.2,-30.7,88
1997,11,-33.5,-35.8,31
1997,12,-32,-36.7,151
1998,1,-33.8,-39.1,103
1998,2,-35.5,-40.5,80
1998,3,-34.5,-39.2,67
1998,4,-27.4,-30.9,43
1998,5,-19.3,-22.2,83
1998,6,-11.2,-14.8,27
1998,7,-8.2,-12.6,52
1998,8,-10.9,-14.2,79
1998,9,-18.8,-21.6,41
1998,10,-30,-30.5,36
1998,11,-31.9,-33.8,87
1998,12,-33.2,-36.8,92
1999,1,-35.4,-39.6,81
1999,2,-34.7,-39,125
1999,3,-34.1,-39,69
1999,4,-27.9,-31.6,30
1999,5,-19.9,-22.7,62
1999,6,-12.6,-15.2,56
1999,7,-7.1,-12.6,41
1999,8,-11.3,-15.2,180
1999,9,-18.9,-21.8,62
1999,10,-30.1,-30.6,51
1999,11,-33,-34.2,161
1999,12,-34.8,-38.5,71
2000,1,-33.6,-38.9,181
2000,2,-33.3,-37.8,44
2000,3,-34.1,-39.6,52
2000,4,-28.1,-32.3,47
2000,5,-19.7,-22.4,28
2000,6,-10.7,-14.8,16
2000,7,-8.4,-12,89
2000,8,-11,-14.5,159
2000,9,-18.5,-20.3,98
2000,10,-29.9,-30.4,28
2000,11,-32.6,-35.2,80
2000,12,-34.5,-38.3,56
2001,1,-34.4,-39.3,159
2001,2,-34.2,-39,121
2001,3,-35.3,-39.2,90
2001,4,-30.9,-33.6,51
2001,5,-20,-21.9,33
2001,6,-11.7,-14.4,39
2001,7,-8.2,-12,59
2001,8,-9.4,-13.8,52
2001,9,-17.8,-19.5,88
2001,10,-28.8,-29.3,61
2001,11,-33.8,-35.9,116
2001,12,-30.7,-34.7,303
2002,1,-33,-37.6,88
2002,2,-36.2,-41,47
2002,3,-34.8,-40.2,54
2002,4,-29.6,-32.4,20
2002,5,-18.3,-21.2,16
2002,6,-10.3,-13.9,38
2002,7,-8.4,-12.2,52
2002,8,-10.6,-14.4,54
2002,9,-16.8,-19.4,101
2002,10,-28.4,-28.9,80
2002,11,-30.9,-32.2,59
2002,12,-29.4,-33.5,96
2003,1,-33.4,-38.1,158
2003,2,-31.4,-35.7,119
2003,3,-31.9,-36.2,108
2003,4,-27.1,-31.7,60
2003,5,-19.2,-21.4,40
2003,6,-9.5,-14.4,27
2003,7,-7,-11.2,38
2003,8,-9,-12.6,259
2003,9,-17.3,-19.5,84
2003,10,-27.8,-27.4,81
2003,11,-32.1,-33.5,53
2003,12,-34,-38,59
2004,1,-34.7,-37.9,90
2004,2,-32.5,-36.6,157
2004,3,-32.1,-36.1,144
2004,4,-27.6,-29.4,36
2004,5,-18.6,-20.3,15
2004,6,-10.8,-14.3,54
2004,7,-8.2,-11.7,72
2004,8,-9.5,-13.2,101
2004,9,-17.6,-20.1,64
2004,10,-28.3,-27.9,76
2004,11,-33.5,-34.9,62
2004,12,-34.7,-38.4,55
