Year,Month,tmax(degC),tmin(degC),ppt(mm)
1958,1,4,-2.8,84
1958,2,8.5,1.4,86
1958,3,8.7,-1.7,42
1958,4,12.2,1.8,112
1958,5,23.7,7.3,18
1958,6,24.7,10.2,64
1958,7,30.1,10.8,19
1958,8,31.5,10.9,4
1958,9,22.3,6,17
1958,10,17.7,2.4,46
1958,11,7,-1.1,132
1958,12,4.6,-1.1,118
1959,1,3.2,-3.9,115
1959,2,3.3,-3.1,56
1959,3,8.6,-0.6,38
1959,4,14.4,1.9,34
1959,5,16.5,3.2,57
1959,6,22.9,7.9,44
1959,7,29.4,8.8,4
1959,8,26,7.9,41
1959,9,19.5,6.5,81
1959,10,14.3,2.7,59
1959,11,5.5,-4.4,53
1959,12,3.4,-4,34
1960,1,-0.8,-8.8,37
1960,2,4.1,-3.8,54
1960,3,9.4,-1.4,70
1960,4,13.6,1.9,56
1960,5,17,4.1,68
1960,6,24,6.8,22
1960,7,32,10.2,1
1960,8,25.3,8.5,50
1960,9,24.6,5.4,22
1960,10,16.5,2.6,55
1960,11,7.3,-1.5,107
1960,12,1.4,-4.8,48
1961,1,3.8,-3.6,49
1961,2,6.7,0.3,121
1961,3,9.1,0.1,72
1961,4,12.7,1.6,53
1961,5,18.1,5.1,52
1961,6,27.3,9.4,26
1961,7,30.3,10.1,9
1961,8,32.6,11.1,18
1961,9,20.6,3.8,24
1961,10,14,1.6,42
1961,11,5.3,-4.5,79
1961,12,1.9,-4.5,76
1962,1,1.1,-7.1,31
1962,2,5,-3.3,33
1962,3,6.7,-2.1,83
1962,4,16.2,2.5,40
1962,5,15.3,4.3,74
1962,6,22.8,6.5,18
1962,7,27.3,7.9,4
1962,8,26,8.7,19
1962,9,24.1,5.8,45
1962,10,14.7,3.4,78
1962,11,7.8,0.5,72
1962,12,4.4,-1.8,70
1963,1,-1.4,-9.8,22
1963,2,7.5,-1.3,69
1963,3,9.9,-0.4,58
1963,4,12.2,1.6,55
1963,5,19.8,4.9,20
1963,6,22.1,8.7,38
1963,7,26,8.1,12
1963,8,29,9.3,16
1963,9,27,8.9,31
1963,10,17.9,4.4,29
1963,11,7.8,0.3,78
1963,12,1.3,-4.1,65
1964,1,3.3,-3.3,90
1964,2,4.8,-4.5,18
1964,3,6.7,-2,39
1964,4,12,0.3,40
1964,5,17.9,4.1,20
1964,6,21.5,8,73
1964,7,27.4,9.3,39
1964,8,24.9,7.9,36
1964,9,20.8,4.6,31
1964,10,16.4,2.5,30
1964,11,5.1,-1.4,95
1964,12,1.4,-6.1,153
1965,1,2.1,-3.4,97
1965,2,5.5,-2.1,36
1965,3,7.9,-3.9,19
1965,4,14.7,2.9,82
1965,5,18,3.7,31
1965,6,22.6,6.9,45
1965,7,28.1,9.9,23
1965,8,27.2,10.4,45
1965,9,19.7,4,13
1965,10,18.8,4,9
1965,11,8.8,1,48
1965,12,3.8,-3.5,21
1966,1,3,-3.5,86
1966,2,4.6,-3.1,32
1966,3,9.4,-1.3,55
1966,4,14.5,0.7,14
1966,5,21.5,4.6,20
1966,6,21.2,6.7,30
1966,7,27,8.2,22
1966,8,28.5,9.2,16
1966,9,25.6,8,15
1966,10,15.3,2,37
1966,11,8.2,0,89
1966,12,4.6,-0.7,88
1967,1,5.2,-1.1,94
1967,2,7,-1.6,18
1967,3,7.3,-1.2,51
1967,4,10.9,-0.2,69
1967,5,18,4.1,51
1967,6,24,8.9,61
1967,7,29.8,9.4,2
1967,8,33,10.1,0
