Year,Month,tmax(degC),tmin(degC),ppt(mm)
1967,9,27.3,8.1,17
1967,10,15.4,3.2,65
1967,11,7.9,-1.5,34
1967,12,2,-4.7,78
1968,1,3,-4.8,32
1968,2,7.7,-0.5,97
1968,3,11.6,0.7,32
1968,4,12.5,-0.1,23
1968,5,18.6,4.6,36
1968,6,22.5,8.1,28
1968,7,29.7,9.4,14
1968,8,25.5,8.9,39
1968,9,21.9,6.8,72
1968,10,13.8,1.7,72
1968,11,6.4,-0.7,92
1968,12,0.9,-6.2,97
1969,1,-2.7,-10.5,132
1969,2,2.3,-4.7,27
1969,3,8.9,-2.1,28
1969,4,14.1,2,92
1969,5,20.8,5.8,39
1969,6,24.7,9.5,33
1969,7,27.4,8.2,2
1969,8,28,7.5,0
1969,9,22.9,7,33
1969,10,12.8,0.7,43
1969,11,8.1,-1.3,16
1969,12,2.2,-2.9,74
1970,1,1.9,-4.6,178
1970,2,7.2,-0.9,52
1970,3,7.8,-1.8,59
1970,4,9.9,-0.3,40
1970,5,19.4,4.8,29
1970,6,25.2,9.8,51
1970,7,29.1,10.9,44
1970,8,30.5,8.8,3
1970,9,19.3,3.7,34
1970,10,14.1,1.4,53
1970,11,7.2,-1.2,84
1970,12,2.1,-4.8,45
1971,1,3.5,-3.1,79
1971,2,5.8,-3.1,45
1971,3,6,-2.8,69
1971,4,13.4,0.5,40
1971,5,20.1,5.3,64
1971,6,19.4,6.8,94
1971,7,28.6,8.8,23
1971,8,32.3,11,30
1971,9,20.1,3.8,52
1971,10,13.7,0.5,46
1971,11,5.9,-0.9,78
1971,12,1.7,-5.3,85
1972,1,1,-6.6,73
1972,2,3.7,-3.7,82
1972,3,10.2,0.5,90
1972,4,11.1,0.1,46
1972,5,20.1,6,71
1972,6,22.7,8.4,25
1972,7,27.2,8.9,18
1972,8,30,10.3,28
1972,9,20,4.7,28
1972,10,15.4,1.6,41
1972,11,7,-0.1,38
1972,12,-0.2,-7.3,109
1973,1,1.5,-6.3,48
1973,2,6,-2.9,25
1973,3,9.6,-0.3,42
1973,4,14,0.5,12
1973,5,20.8,4.6,50
1973,6,23,7.7,17
1973,7,29.9,8.9,2
1973,8,28.8,8.9,2
1973,9,22.7,6.6,44
1973,10,14.6,2.4,42
1973,11,4.3,-1.4,173
1973,12,4.6,-0.9,156
1974,1,-0.3,-7.8,115
1974,2,5.9,-1.3,70
1974,3,8.5,-0.9,58
1974,4,12.7,2.4,67
1974,5,16.3,3.4,34
1974,6,25.4,8.7,43
1974,7,27.1,9.2,24
1974,8,28.4,9,4
1974,9,25.5,5.1,6
1974,10,17.7,1.1,1
1974,11,7.3,-0.2,48
1974,12,3.9,-2.7,71
1975,1,1.4,-5.5,128
1975,2,2.1,-5.3,77
1975,3,6.5,-2.2,52
1975,4,10.3,-0.3,57
1975,5,17.3,4.2,40
1975,6,20.7,6.8,39
1975,7,29.3,11.9,39
1975,8,25.2,8.3,68
1975,9,25,5,2
1975,10,13.4,3.4,86
1975,11,6.3,-2.3,73
1975,12,4,-3.1,110
1976,1,3.6,-3.5,51
1976,2,4.5,-3.4,59
1976,3,6.4,-3.2,53
1976,4,13,1.2,65
1976,5,20,4.1,54
1976,6,20.3,6.3,44
1976,7,27.1,9.1,15
1976,8,25.3,9.2,60
1976,9,25.9,7,6
1976,10,16.7,1.1,32
1976,11,7.9,-0.9,17
1976,12,3.2,-4.4,26
1977,1,-1,-7.6,18
1977,2,7.1,-2.3,19
1977,3,7.4,-1.4,44
1977,4,17.7,2,9
1977,5,16.2,3.8,63
1977,6,26.1,9.3,19
1977,7,26.6,9.2,15
1977,8,30.1,11.1,69
1977,9,19.4,6,58
1977,10,14.8,1.8,25
1977,11,5.7,-2.3,82
1977,12,2.4,-2.9,134
1978,1,2.2,-3.4,68
1978,2,5.1,-0.8,58
1978,3,11.2,0.5,32
1978,4,12.8,2.2,99
1978,5,16.1,4.2,50
1978,6,24,7.5,20
1978,7,27.4,9.6,35
1978,8,26,9.5,56
1978,9,20.5,6.3,36
1978,10,17.1,0.2,2
1978,11,3.6,-4.9,69
1978,12,-0.8,-8.5,66
1979,1,-5.8,-14.1,42
1979,2,2.6,-4,88
1979,3,10.4,-0.5,46
1979,4,12.7,2.1,75
1979,5,19.2,5.4,56
1979,6,24.2,7.5,26
1979,7,28.8,9.2,12
1979,8,29.1,9.8,32
1979,9,25.8,6.9,8
1979,10,17,3.7,74
1979,11,4.6,-3.2,62
1979,12,5.4,-1.4,63
1980,1,-0.6,-8.4,101
1980,2,4.8,-1.7,52
1980,3,7.4,-0.7,66
1980,4,16.4,3.7,37
1980,5,18,5.5,106
1980,6,19.9,6.8,51
1980,7,27.2,9.3,23
1980,8,25.8,6.7,19
1980,9,22.5,6.2,39
1980,10,16.6,1.9,25
1980,11,7.2,0,68
1980,12,5.4,-1.1,103
1981,1,4.7,-1,39
1981,2,5.6,-2.2,80
1981,3,11.2,-0.6,67
1981,4,13.1,2,62
1981,5,16.9,5,57
1981,6,19,6.7,80
1981,7,26.2,7.5,27
1981,8,31.2,9.6,4
1981,9,23.9,5.4,28
1981,10,13.3,1.6,65
1981,11,9,0.5,66
1981,12,3.2,-2.9,108
1982,1,1,-5.5,100
1982,2,3.3,-4,78
1982,3,8.5,-0.2,65
1982,4,11.5,0,80
1982,5,18.2,4,32
1982,6,24.2,9.6,25
1982,7,26.5,9.3,43
1982,8,28.5,9.7,20
1982,9,22.3,6,46
1982,10,13.7,2,78
1982,11,4.1,-2.8,59
1982,12,1.9,-3.8,76
1983,1,5.8,-1.4,67
1983,2,7.5,0,86
1983,3,10.5,1.4,93
1983,4,13.8,0.8,37
1983,5,20.2,4.9,44
1983,6,21.8,7.4,58
1983,7,24.5,8.7,51
1983,8,29.8,11.2,27
1983,9,20.4,4.1,38
1983,10,15.5,2.1,40
1983,11,7.5,0.7,112
1983,12,-3.1,-9.1,78
1984,1,3,-4.3,50
1984,2,5.4,-2.1,43
1984,3,9.2,0.7,94
1984,4,11.9,1,49
1984,5,16.2,3.6,64
1984,6,20.6,6.7,64
1984,7,28.7,8.8,13
1984,8,29.3,9.8,17
1984,9,20.6,4.6,31
1984,10,12.9,0.4,45
1984,11,6,-0.5,104
1984,12,-0.6,-7.3,84
1985,1,-2.1,-7.7,13
1985,2,1.3,-7.2,45
1985,3,8,-2.8,47
1985,4,15.2,2.2,34
1985,5,20.2,5,48
1985,6,23.5,7.2,44
1985,7,32.1,10.5,3
1985,8,25.9,8.4,36
1985,9,17.8,4.3,78
1985,10,13.1,1,39
1985,11,0.7,-6.3,60
1985,12,-3.4,-10.3,18
1986,1,3.8,-2.8,89
1986,2,4.8,-2.4,107
1986,3,11.6,1.7,53
1986,4,13.4,1.3,35
1986,5,19.3,5.4,50
1986,6,26.5,9.2,12
1986,7,24.9,7.5,24
1986,8,31.7,10.7,24
1986,9,18.8,5.2,67
1986,10,17.5,2,19
1986,11,5.6,-1.1,94
1986,12,1.6,-4.4,23
1987,1,1.6,-6,42
1987,2,6.5,-1.9,40
1987,3,10,0.5,50
1987,4,18.1,3.6,36
1987,5,21.1,6.3,57
1987,6,25.4,8.3,46
1987,7,26.2,9.6,61
1987,8,27.7,8.1,11
1987,9,26.8,5.9,1
1987,10,19.1,0.7,0
1987,11,8.4,-0.2,29
1987,12,1.6,-4.9,68
1988,1,1.3,-5.6,67
1988,2,7.2,-2.4,27
1988,3,9.7,-1.2,79
1988,4,15.3,2.8,61
1988,5,18.9,4.7,57
1988,6,22.6,8.1,46
1988,7,27.8,8.7,26
1988,8,29.2,8.3,1
1988,9,23.3,5.2,35
1988,10,20.3,4.3,15
1988,11,7,0.1,110
1988,12,2.3,-4.6,36
1989,1,2.9,-3.8,96
1989,2,-1,-9.3,38
1989,3,7.8,-0.6,99
1989,4,15.9,2.9,29
1989,5,18.3,4.6,69
1989,6,24.2,8.4,29
1989,7,28,8.6,8
1989,8,25.8,8.9,93
1989,9,24.5,5.6,19
1989,10,15.4,2.2,38
1989,11,8.3,0.8,59
1989,12,3.2,-2.8,34
1990,1,4.7,-1.3,89
1990,2,4.4,-4.3,36
1990,3,11.2,-0.8,35
1990,4,16.5,3.4,81
1990,5,17.5,4.9,95
1990,6,21.9,8.3,36
1990,7,29.5,10.2,17
1990,8,28.5,10.7,29
1990,9,28.2,7.5,1
1990,10,13.7,2.1,79
1990,11,8.1,0.9,96
1990,12,-1.1,-8.8,51
1991,1,1.3,-5.8,53
1991,2,9,-0.2,39
1991,3,7.9,-1.5,63
1991,4,13.8,1.3,50
1991,5,16.4,4.2,94
1991,6,19.7,6.5,67
1991,7,27.9,9,10
1991,8,30.2,10.4,20
1991,9,25.7,5.8,3
1991,10,16.5,0.7,16
1991,11,5.8,-0.5,115
1991,12,4.3,-1.8,41
1992,1,4.4,-2,45
1992,2,8.4,0.3,50
1992,3,13.6,1.4,14
1992,4,15.9,3.3,72
1992,5,22.9,5.5,18
1992,6,26.7,9.7,30
1992,7,26.6,9.9,34
1992,8,29.4,9.3,42
1992,9,21.7,5,41
1992,10,16.8,3.1,23
1992,11,5,-1,77
1992,12,1.1,-5.7,33
1993,1,-0.9,-8.1,47
1993,2,1.6,-6.4,24
1993,3,8.9,-0.5,55
1993,4,12.8,2.6,114
1993,5,21.7,7.8,57
1993,6,21.6,8.1,49
1993,7,22.2,8,56
1993,8,26.1,8.3,22
1993,9,24,4.7,3
1993,10,17.2,3.2,24
1993,11,4.6,-5.5,35
1993,12,3.1,-2.2,56
1994,1,6.2,-0.7,54
1994,2,3.1,-4.5,38
1994,3,11.8,-0.7,26
1994,4,15.5,3.9,51
1994,5,20.1,6.6,46
1994,6,23.2,7.3,35
1994,7,30.6,10.3,12
1994,8,30,10,2
1994,9,26.2,7.2,14
1994,10,15.3,2.3,88
1994,11,4.1,-2,122
1994,12,2.8,-3.5,84
1995,1,3.5,-3.7,80
1995,2,7.6,-1.4,56
1995,3,9.4,-0.5,84
1995,4,13,1.6,59
1995,5,19.8,5.8,36
1995,6,21,8.3,83
1995,7,27.2,10,32
1995,8,26,7.7,38
1995,9,24.9,7.4,40
1995,10,12.8,2.1,85
1995,11,8.5,1.1,117
1995,12,2.9,-3.2,87
1996,1,2,-4.6,112
1996,2,3.2,-6,123
1996,3,8.3,-1,45
1996,4,13.9,2.9,122
1996,5,15.5,4.2,82
1996,6,22.5,7.4,26
1996,7,29.7,9.8,7
1996,8,29.2,9.3,6
1996,9,21.1,5.2,28
1996,10,14.7,2.5,86
1996,11,5.9,-1.2,121
1996,12,0.6,-5.9,159
1997,1,1.4,-5.3,101
1997,2,4.5,-2.9,55
1997,3,8.3,-0.6,93
1997,4,11.9,0.4,101
1997,5,19.9,5.8,51
1997,6,21.4,7.6,34
1997,7,26.8,8.6,44
1997,8,29.4,10,11
1997,9,23.9,7.2,37
1997,10,15,2.5,88
1997,11,7.8,-0.4,68
1997,12,3,-3.2,50
1998,1,3.7,-3.4,89
1998,2,7.6,-0.3,38
1998,3,9.9,0.3,42
1998,4,15,2,44
1998,5,19.3,6.2,114
1998,6,22,8,32
1998,7,30.4,11.9,45
1998,8,31.1,9.7,13
1998,9,27,8,42
1998,10,14.9,1.4,25
1998,11,8.2,1.6,133
1998,12,2.8,-3.7,113
1999,1,5.1,-1.2,62
1999,2,6.3,-1,109
1999,3,9.6,-0.8,46
1999,4,13.4,-0.2,26
1999,5,17.1,2.8,36
1999,6,21.1,6.9,43
1999,7,26.6,7.4,5
1999,8,29,10.6,43
1999,9,23.8,4.1,1
1999,10,15.9,1.3,57
1999,11,9.7,1.8,88
1999,12,4.2,-1.1,85
2000,1,2.7,-3.4,68
2000,2,5.3,-1.5,91
2000,3,9.4,-0.2,66
2000,4,15.9,2.2,46
2000,5,18.3,5.2,74
2000,6,23,7.6,37
2000,7,28.2,8.7,6
2000,8,29.4,8.4,4
2000,9,21.6,5.3,63
2000,10,14.6,1.7,55
2000,11,2.4,-4.8,55
2000,12,-0.1,-5.4,45
2001,1,1.4,-4.1,46
2001,2,2.4,-5.4,35
2001,3,9.7,-0.5,48
2001,4,12.1,1.3,76
2001,5,20.9,5,43
2001,6,21.5,7.1,45
2001,7,27.7,9.2,20
2001,8,31.1,10.3,4
2001,9,26.2,7,10
2001,10,14.9,2.4,82
2001,11,8.6,0.9,81
2001,12,2.7,-3.1,70
2002,1,3.7,-2.2,70
2002,2,5.7,-3.3,43
2002,3,5.7,-3.2,76
2002,4,13.5,1,38
2002,5,17.3,4.4,40
2002,6,23.2,8.3,53
2002,7,29.8,10.5,7
2002,8,27.8,7.9,26
2002,9,23.7,5.8,14
2002,10,14.6,-1.1,23
2002,11,7.7,-1.2,45
2002,12,4.2,-0.2,69
2003,1,4.8,0,137
2003,2,5.3,-2.9,55
2003,3,9.8,0.8,113
2003,4,12.9,2.3,65
2003,5,18,5.1,52
2003,6,24.6,8.4,8
2003,7,31.4,10.9,5
2003,8,30.6,10.2,17
2003,9,24.8,7,31
2003,10,18.2,4.1,22
2003,11,5,-4,58
2003,12,3.1,-2.3,90
2004,1,-0.1,-5.4,88
2004,2,5.1,-2.2,48
2004,3,12.7,1.1,31
2004,4,16.3,2.4,39
2004,5,18,5.5,102
2004,6,23.3,8.7,30
2004,7,29.4,10.8,8
2004,8,28.6,11.3,56
2004,9,21.1,6.7,29
2004,10,16,3.3,54
2004,11,7.2,-0.8,58
2004,12,4.7,-1.3,47
2005,1,2.1,-4.4,34
2005,2,7.3,-3.8,6
2005,3,11.2,0.2,67
2005,4,14.2,2.3,47
2005,5,18.8,6.3,102
2005,6,20.9,7.5,36
2005,7,29.1,9.9,13
2005,8,30,9.5,7
2005,9,22.4,5.6,16
2005,10,15.4,4.2,64
2005,11,5.1,-1.1,63
2005,12,0.5,-5.8,86
2006,1,6.5,0.7,119
2006,2,5.1,-4.1,37
2006,3,8.6,-0.6,57
2006,4,14.1,2.9,76
2006,5,20.1,5.6,51
2006,6,23.7,9.6,61
2006,7,31,11.4,3
2006,8,29.3,9,7
2006,9,24.5,6.5,27
2006,10,15,1.7,25
2006,11,7,-0.5,156
2006,12,2.5,-3.7,64
2007,1,1.9,-5.3,47
2007,2,4.8,-1.3,60
2007,3,11.5,1.6,52
2007,4,13.9,2.1,35
2007,5,20.3,5.4,34
2007,6,23.2,8.8,34
2007,7,31.1,11.6,9
2007,8,28.8,9.4,12
2007,9,23,5.9,12
2007,10,14.6,2.6,51
2007,11,6.7,-1.7,83
2007,12,3.1,-3.1,100
2008,1,1.5,-6.3,71
2008,2,6.1,-1.9,48
2008,3,7.6,-1.4,60
2008,4,11.7,-0.4,33
2008,5,19.5,5.9,37
2008,6,22.1,7.3,46
2008,7,28.8,9.7,6
2008,8,28.6,10.1,39
2008,9,23.8,5.8,14
2008,10,15.6,2.1,16
2008,11,8.9,1.1,82
2008,12,0.3,-6.9,101
2009,1,2.3,-4.1,80
2009,2,4.6,-2.7,42
2009,3,6.5,-2.1,103
2009,4,13.3,1.3,65
2009,5,20,5.1,56
2009,6,23.3,8.5,37
2009,7,29.8,10.5,22
2009,8,28.9,10.3,36
2009,9,26.2,7.4,4
2009,10,12.4,1,58
2009,11,8.2,-0.6,50
2009,12,-1.1,-7.4,48
2010,1,4.7,-1.1,66
2010,2,7.2,-0.5,31
2010,3,10.7,-0.8,47
2010,4,13.2,1.7,80
2010,5,16.1,3.3,75
2010,6,20.4,7.7,94
2010,7,27.8,8.8,12
2010,8,27.9,9.2,6
2010,9,22.6,7.2,39
2010,10,15.9,3.7,65
2010,11,5,-2.6,75
2010,12,2.2,-3.9,110
2011,1,3,-3.8,75
2011,2,3,-5,91
2011,3,8.4,0,93
2011,4,10.1,-0.1,69
2011,5,16.4,3.9,102
2011,6,19.9,6.9,32
2011,7,26.5,7.9,11
2011,8,30.4,9.7,5
2011,9,27,7.1,7
2011,10,14.9,3.6,51
2011,11,6.9,-2.5,57
2011,12,2.8,-4.8,22
2012,1,4.2,-4.3,87
2012,2,5,-2.4,59
2012,3,9.1,-0.2,89
2012,4,15,3,73
2012,5,18.1,4.2,31
2012,6,20.9,7.8,74
2012,7,29.6,10.8,22
2012,8,31.1,9.7,2
2012,9,26.1,6.5,1
2012,10,15.2,2.7,86
2012,11,8,1,88
2012,12,3.7,-1.6,67
2013,1,1,-5.5,54
2013,2,6.3,-1.5,31
2013,3,10.3,-0.3,29
2013,4,13.1,1.2,46
2013,5,20.4,5.5,42
2013,6,22.8,8.4,55
2013,7,31.3,11,3
2013,8,30.4,11.2,20
2013,9,23.9,9.2,68
2013,10,14.4,0.5,8
2013,11,6.1,-1.8,52
2013,12,1,-6.6,42
2014,1,3.2,-2.6,50
2014,2,1.3,-5.3,88
2014,3,9.5,-0.4,95
2014,4,14.3,1.7,48
2014,5,20.4,5.7,24
2014,6,22.2,8,45
2014,7,31.3,12,8
2014,8,29.7,11.2,26
2014,9,25,7.2,14
2014,10,18.4,5.4,50
2014,11,5.7,-2.6,65
2014,12,3.9,-1.9,101
2015,1,3.4,-2.6,57
2015,2,8.8,-0.1,66
2015,3,12.9,1.4,68
2015,4,14.9,1,24
2015,5,21.5,6.6,41
2015,6,27.8,11,20
2015,7,29.8,11.4,8
2015,8,30,10.5,4
2015,9,23,5.9,26
2015,10,18.7,5.2,41
2015,11,6,-2,57
2015,12,3.1,-2.7,112
2016,1,3.2,-2.5,68
2016,2,8.8,0,37
2016,3,11,1,90
2016,4,17.6,4.1,45
2016,5,20.1,6.7,51
2016,6,24.9,8.9,26
2016,7,27.4,10,34
2016,8,29.5,9.9,8
2016,9,22.6,6.4,23
2016,10,14.7,4.7,123
2016,11,10.8,2,42
2016,12,-0.6,-7.6,87
2017,1,-2.3,-9.5,65
2017,2,3.6,-3.9,135
2017,3,9.6,1.4,112
2017,4,12.5,2.4,84
2017,5,19.9,5.7,44
2017,6,23.4,8.5,43
2017,7,31.6,11.2,1
2017,8,31.3,11.1,3
2017,9,23.5,7.3,35
2017,10,14.7,1.5,52
2017,11,7.4,0.1,103
2017,12,0.8,-4.5,104
2018,1,5.2,-0.9,76
2018,2,3.9,-4.6,65
2018,3,9.3,-1.1,57
2018,4,13.6,2.3,87
2018,5,22.1,8.3,63
2018,6,22.4,8.1,32
2018,7,30.2,10.4,2
2018,8,29.4,10,10
2018,9,22.4,5.4,5
2018,10,14.9,2.3,64
2018,11,6.7,-1.3,89
2018,12,4.1,-2.2,72
2019,1,4.8,-2,52
2019,2,1.2,-6.8,99
2019,3,6.2,-3.7,37
2019,4,15.3,3.2,110
2019,5,21.4,7.6,54
2019,6,24.2,9.3,13
2019,7,28.4,10,6
2019,8,30.4,11.1,26
2019,9,23.6,6.2,47
2019,10,12.9,-0.7,84
2019,11,6.3,-1.1,24
2019,12,4.8,-1.6,47
